,,,,,,
,,,,,,
,,,,,,
,Uncut,MseI,Hyp188I,Uncut,MseI,Hyp188I
B1,524.203601,375.5778747,546.5123745,,,
,,345.5413296,345.5413296,,,
,,,184.9268619,,,
,,,,,,
B2,524.203601,375.5778747,546.5123745,,,
,,177.3781006,375.5778747,,,
,,,345.5413296,,,
,,,170.1374816,,,
,,,,,,
B3,482.2808304,360.2466907,345.5413296,484.3953885,341.2321952,320.7746206
,,163.1924265,177.3781006,,187.7154418,191.6240435
,,,,,,
,,,,,,
B4,482.2808304,360.2466907,317.9069336,504.7775135,341.2321952,320.7746206
,,170.1374816,163.1924265,,183.8865649,176.4615136
,,,,,,
B5,482.2808304,345.5413296,331.436245,515.2879659,370.5527153,341.2321952
,,163.1924265,177.3781006,,180.1357865,191.6240435
,,,,,,
B6,482.2808304,345.5413296,524.203601,536.9699719,370.5527153,355.5903774
,,163.1924265,331.436245,,195.6140298,195.6140298
,,,170.1374816,,,
,,,,,,
B7,502.8054773,360.2466907,317.9069336,,,
,,170.1374816,170.1374816,,,
,,,,,,
B8,502.8054773,360.2466907,331.436245,,,
,,177.3781006,163.1924265,,,
,,,,,,
K1,422.2,431.5,347.1,,,
,,142.2,197.1,,,
,,572.5,,,,
,,,,,,
K2,536.4,431.5,347.1,,,
,,,,,,
K3,536.4,572.5,572.5,566.9,433.5,369.1
,,422.2,354.7,,152.3,210.1
,,151.8,210.4,,,582.3
,,847,,,,
,,,,,,
K4,536.4,422.2,585.1,582.3,457.4,598.1
,,865.7,354.7,,221.7,379.1
,,158.6,205.9,,,215.8
,,,,,,
K5,582.3,274.8,389.4,,,
,,169.5,215.8,,,
,,,598.1,,,
,,,,,,
K6,598.1,482.6,631.1,,,
,,221.7,400,,,
,,,221.7,,,
,,,,,,
L. delbruekii,598.1,469.8,598.1,,,
,,400,389.4,,,
,,140.5,215.8,,,
